,ID,Date,Cases,Cases_New,Type
11923761,IT,2020-01-03,3.0,3.0,Active
11923767,IT,2020-01-04,3.0,0.0,Active
11923773,IT,2020-01-05,3.0,0.0,Active
11923779,IT,2020-01-06,3.0,0.0,Active
11923785,IT,2020-01-07,3.0,0.0,Active
11923791,IT,2020-01-08,3.0,0.0,Active
11923797,IT,2020-01-09,3.0,0.0,Active
11923803,IT,2020-01-10,3.0,0.0,Active
11923809,IT,2020-01-11,3.0,0.0,Active
11923815,IT,2020-01-12,3.0,0.0,Active
11923821,IT,2020-01-13,3.0,0.0,Active
11923827,IT,2020-01-14,3.0,0.0,Active
11923833,IT,2020-01-15,3.0,0.0,Active
11923839,IT,2020-01-16,3.0,0.0,Active
11923845,IT,2020-01-17,3.0,0.0,Active
11923851,IT,2020-01-18,3.0,0.0,Active
11923857,IT,2020-01-19,3.0,0.0,Active
11923863,IT,2020-01-20,3.0,0.0,Active
11923869,IT,2020-01-21,3.0,0.0,Active
11923875,IT,2020-01-22,0.0,0.0,Active
11923885,IT,2020-01-23,0.0,0.0,Active
11923895,IT,2020-01-24,0.0,0.0,Active
11923905,IT,2020-01-25,0.0,0.0,Active
11923915,IT,2020-01-26,0.0,0.0,Active
11923925,IT,2020-01-27,0.0,0.0,Active
11923935,IT,2020-01-28,0.0,0.0,Active
11923945,IT,2020-01-29,0.0,0.0,Active
11923955,IT,2020-01-30,0.0,0.0,Active
11923965,IT,2020-01-31,2.0,2.0,Active
11923976,IT,2020-02-01,2.0,0.0,Active
11923987,IT,2020-02-02,2.0,0.0,Active
11923998,IT,2020-02-03,2.0,0.0,Active
11924009,IT,2020-02-04,2.0,0.0,Active
11924020,IT,2020-02-05,2.0,0.0,Active
11924031,IT,2020-02-06,2.0,0.0,Active
11924042,IT,2020-02-07,3.0,1.0,Active
11924053,IT,2020-02-08,3.0,0.0,Active
11924064,IT,2020-02-09,3.0,0.0,Active
11924075,IT,2020-02-10,3.0,0.0,Active
11924086,IT,2020-02-11,3.0,0.0,Active
11924097,IT,2020-02-12,3.0,0.0,Active
11924108,IT,2020-02-13,3.0,0.0,Active
11924119,IT,2020-02-14,3.0,0.0,Active
11924130,IT,2020-02-15,3.0,0.0,Active
11924141,IT,2020-02-16,3.0,0.0,Active
11924152,IT,2020-02-17,3.0,0.0,Active
11924163,IT,2020-02-18,3.0,0.0,Active
11924174,IT,2020-02-19,3.0,0.0,Active
11924185,IT,2020-02-20,3.0,0.0,Active
11924196,IT,2020-02-21,19.0,16.0,Active
11924207,IT,2020-02-22,59.0,40.0,Active
11924218,IT,2020-02-23,150.0,91.0,Active
11924229,IT,2020-02-24,221.0,221.0,Active
11924256,IT,2020-02-25,311.0,90.0,Active
11924283,IT,2020-02-26,385.0,74.0,Active
11924310,IT,2020-02-27,588.0,203.0,Active
11924337,IT,2020-02-28,821.0,233.0,Active
11924364,IT,2020-02-29,1049.0,228.0,Active
11924391,IT,2020-03-01,1577.0,528.0,Active
11924418,IT,2020-03-02,1835.0,258.0,Active
11924445,IT,2020-03-03,2263.0,428.0,Active
11924472,IT,2020-03-04,2706.0,443.0,Active
11924499,IT,2020-03-05,3296.0,590.0,Active
11924526,IT,2020-03-06,3916.0,620.0,Active
11924553,IT,2020-03-07,5061.0,1145.0,Active
11924580,IT,2020-03-08,6387.0,1326.0,Active
11924607,IT,2020-03-09,7985.0,1598.0,Active
11924634,IT,2020-03-10,8514.0,529.0,Active
11924661,IT,2020-03-11,10590.0,2076.0,Active
11924688,IT,2020-03-12,12839.0,2249.0,Active
11924715,IT,2020-03-13,14955.0,2116.0,Active
11924742,IT,2020-03-14,17750.0,2795.0,Active
11924769,IT,2020-03-15,20603.0,2853.0,Active
11924796,IT,2020-03-16,23073.0,2470.0,Active
11924823,IT,2020-03-17,26062.0,2989.0,Active
11924850,IT,2020-03-18,28710.0,2648.0,Active
