,ID,Date,Cases,Cases_New,Type
11923762,IT,2020-01-03,3.0,3.0,Confirmed
11923768,IT,2020-01-04,3.0,0.0,Confirmed
11923774,IT,2020-01-05,3.0,0.0,Confirmed
11923780,IT,2020-01-06,3.0,0.0,Confirmed
11923786,IT,2020-01-07,3.0,0.0,Confirmed
11923792,IT,2020-01-08,3.0,0.0,Confirmed
11923798,IT,2020-01-09,3.0,0.0,Confirmed
11923804,IT,2020-01-10,3.0,0.0,Confirmed
11923810,IT,2020-01-11,3.0,0.0,Confirmed
11923816,IT,2020-01-12,3.0,0.0,Confirmed
11923822,IT,2020-01-13,3.0,0.0,Confirmed
11923828,IT,2020-01-14,3.0,0.0,Confirmed
11923834,IT,2020-01-15,3.0,0.0,Confirmed
11923840,IT,2020-01-16,3.0,0.0,Confirmed
11923846,IT,2020-01-17,3.0,0.0,Confirmed
11923852,IT,2020-01-18,3.0,0.0,Confirmed
11923858,IT,2020-01-19,3.0,0.0,Confirmed
11923864,IT,2020-01-20,3.0,0.0,Confirmed
11923870,IT,2020-01-21,3.0,0.0,Confirmed
11923877,IT,2020-01-22,0.0,0.0,Confirmed
11923887,IT,2020-01-23,0.0,0.0,Confirmed
11923897,IT,2020-01-24,0.0,0.0,Confirmed
11923907,IT,2020-01-25,0.0,0.0,Confirmed
11923917,IT,2020-01-26,0.0,0.0,Confirmed
11923927,IT,2020-01-27,0.0,0.0,Confirmed
11923937,IT,2020-01-28,0.0,0.0,Confirmed
11923947,IT,2020-01-29,0.0,0.0,Confirmed
11923957,IT,2020-01-30,0.0,0.0,Confirmed
11923967,IT,2020-01-31,2.0,2.0,Confirmed
11923978,IT,2020-02-01,2.0,0.0,Confirmed
11923989,IT,2020-02-02,2.0,0.0,Confirmed
11924000,IT,2020-02-03,2.0,0.0,Confirmed
11924011,IT,2020-02-04,2.0,0.0,Confirmed
11924022,IT,2020-02-05,2.0,0.0,Confirmed
11924033,IT,2020-02-06,2.0,0.0,Confirmed
11924044,IT,2020-02-07,3.0,1.0,Confirmed
11924055,IT,2020-02-08,3.0,0.0,Confirmed
11924066,IT,2020-02-09,3.0,0.0,Confirmed
11924077,IT,2020-02-10,3.0,0.0,Confirmed
11924088,IT,2020-02-11,3.0,0.0,Confirmed
11924099,IT,2020-02-12,3.0,0.0,Confirmed
11924110,IT,2020-02-13,3.0,0.0,Confirmed
11924121,IT,2020-02-14,3.0,0.0,Confirmed
11924132,IT,2020-02-15,3.0,0.0,Confirmed
11924143,IT,2020-02-16,3.0,0.0,Confirmed
11924154,IT,2020-02-17,3.0,0.0,Confirmed
11924165,IT,2020-02-18,3.0,0.0,Confirmed
11924176,IT,2020-02-19,3.0,0.0,Confirmed
11924187,IT,2020-02-20,3.0,0.0,Confirmed
11924198,IT,2020-02-21,20.0,17.0,Confirmed
11924209,IT,2020-02-22,62.0,42.0,Confirmed
