,ID,Date,Cases,Cases_New,Type
11923763,IT,2020-01-03,7.0,7.0,Deaths
11923769,IT,2020-01-04,7.0,0.0,Deaths
11923775,IT,2020-01-05,7.0,0.0,Deaths
11923781,IT,2020-01-06,7.0,0.0,Deaths
11923787,IT,2020-01-07,7.0,0.0,Deaths
11923793,IT,2020-01-08,7.0,0.0,Deaths
11923799,IT,2020-01-09,7.0,0.0,Deaths
11923805,IT,2020-01-10,7.0,0.0,Deaths
11923811,IT,2020-01-11,7.0,0.0,Deaths
11923817,IT,2020-01-12,7.0,0.0,Deaths
11923823,IT,2020-01-13,7.0,0.0,Deaths
11923829,IT,2020-01-14,7.0,0.0,Deaths
11923835,IT,2020-01-15,7.0,0.0,Deaths
11923841,IT,2020-01-16,7.0,0.0,Deaths
11923847,IT,2020-01-17,7.0,0.0,Deaths
11923853,IT,2020-01-18,7.0,0.0,Deaths
11923859,IT,2020-01-19,7.0,0.0,Deaths
11923865,IT,2020-01-20,7.0,0.0,Deaths
11923871,IT,2020-01-21,7.0,0.0,Deaths
11923879,IT,2020-01-22,0.0,0.0,Deaths
11923889,IT,2020-01-23,0.0,0.0,Deaths
11923899,IT,2020-01-24,0.0,0.0,Deaths
11923909,IT,2020-01-25,0.0,0.0,Deaths
11923919,IT,2020-01-26,0.0,0.0,Deaths
11923929,IT,2020-01-27,0.0,0.0,Deaths
11923939,IT,2020-01-28,0.0,0.0,Deaths
11923949,IT,2020-01-29,0.0,0.0,Deaths
11923959,IT,2020-01-30,0.0,0.0,Deaths
11923969,IT,2020-01-31,0.0,0.0,Deaths
11923980,IT,2020-02-01,0.0,0.0,Deaths
11923991,IT,2020-02-02,0.0,0.0,Deaths
11924002,IT,2020-02-03,0.0,0.0,Deaths
11924013,IT,2020-02-04,0.0,0.0,Deaths
11924024,IT,2020-02-05,0.0,0.0,Deaths
11924035,IT,2020-02-06,0.0,0.0,Deaths
11924046,IT,2020-02-07,0.0,0.0,Deaths
11924057,IT,2020-02-08,0.0,0.0,Deaths
11924068,IT,2020-02-09,0.0,0.0,Deaths
11924079,IT,2020-02-10,0.0,0.0,Deaths
11924090,IT,2020-02-11,0.0,0.0,Deaths
11924101,IT,2020-02-12,0.0,0.0,Deaths
11924112,IT,2020-02-13,0.0,0.0,Deaths
11924123,IT,2020-02-14,0.0,0.0,Deaths
11924134,IT,2020-02-15,0.0,0.0,Deaths
11924145,IT,2020-02-16,0.0,0.0,Deaths
11924156,IT,2020-02-17,0.0,0.0,Deaths
11924167,IT,2020-02-18,0.0,0.0,Deaths
