,ID,Date,Cases,Cases_New,Type
11923764,IT,2020-01-03,127.0,127.0,Hospitalized
11923770,IT,2020-01-04,127.0,0.0,Hospitalized
11923776,IT,2020-01-05,127.0,0.0,Hospitalized
11923782,IT,2020-01-06,127.0,0.0,Hospitalized
11923788,IT,2020-01-07,127.0,0.0,Hospitalized
11923794,IT,2020-01-08,127.0,0.0,Hospitalized
11923800,IT,2020-01-09,127.0,0.0,Hospitalized
11923806,IT,2020-01-10,127.0,0.0,Hospitalized
11923812,IT,2020-01-11,127.0,0.0,Hospitalized
11923818,IT,2020-01-12,127.0,0.0,Hospitalized
11923824,IT,2020-01-13,127.0,0.0,Hospitalized
11923830,IT,2020-01-14,127.0,0.0,Hospitalized
11923836,IT,2020-01-15,127.0,0.0,Hospitalized
11923842,IT,2020-01-16,127.0,0.0,Hospitalized
11923848,IT,2020-01-17,127.0,0.0,Hospitalized
11923854,IT,2020-01-18,127.0,0.0,Hospitalized
11923860,IT,2020-01-19,127.0,0.0,Hospitalized
11923866,IT,2020-01-20,127.0,0.0,Hospitalized
11923872,IT,2020-01-21,127.0,0.0,Hospitalized
11923881,IT,2020-01-22,127.0,0.0,Hospitalized
11923891,IT,2020-01-23,127.0,0.0,Hospitalized
11923901,IT,2020-01-24,127.0,0.0,Hospitalized
11923911,IT,2020-01-25,127.0,0.0,Hospitalized
11923921,IT,2020-01-26,127.0,0.0,Hospitalized
11923931,IT,2020-01-27,127.0,0.0,Hospitalized
11923941,IT,2020-01-28,127.0,0.0,Hospitalized
11923951,IT,2020-01-29,127.0,0.0,Hospitalized
11923961,IT,2020-01-30,127.0,0.0,Hospitalized
11923971,IT,2020-01-31,127.0,0.0,Hospitalized
11923982,IT,2020-02-01,127.0,0.0,Hospitalized
11923993,IT,2020-02-02,127.0,0.0,Hospitalized
11924004,IT,2020-02-03,127.0,0.0,Hospitalized
11924015,IT,2020-02-04,127.0,0.0,Hospitalized
11924026,IT,2020-02-05,127.0,0.0,Hospitalized
11924037,IT,2020-02-06,127.0,0.0,Hospitalized
11924048,IT,2020-02-07,127.0,0.0,Hospitalized
11924059,IT,2020-02-08,127.0,0.0,Hospitalized
11924070,IT,2020-02-09,127.0,0.0,Hospitalized
11924081,IT,2020-02-10,127.0,0.0,Hospitalized
11924092,IT,2020-02-11,127.0,0.0,Hospitalized
