,ID,Date,DoseType,DoseValue,Vax_Partial,Vax_Full
58202,IT,2020-12-29,Admin,8861.0,8861.0,
58203,IT,2020-12-30,Admin,9960.0,9960.0,
58204,IT,2020-12-31,Admin,14852.0,14852.0,
58205,IT,2021-01-01,Admin,40854.0,40854.0,
58206,IT,2021-01-02,Admin,52141.0,52141.0,
58207,IT,2021-01-03,Admin,91240.0,91240.0,
58208,IT,2021-01-04,Admin,127134.0,127134.0,
58209,IT,2021-01-05,Admin,196814.0,196814.0,
58210,IT,2021-01-06,Admin,277104.0,277104.0,
58211,IT,2021-01-07,Admin,342301.0,342301.0,
58212,IT,2021-01-08,Admin,434989.0,434989.0,
58213,IT,2021-01-09,Admin,532029.0,532029.0,
58214,IT,2021-01-10,Admin,620320.0,620320.0,
58215,IT,2021-01-11,Admin,681262.0,681262.0,
58216,IT,2021-01-12,Admin,763493.0,763493.0,
58217,IT,2021-01-13,Admin,847078.0,847078.0,
58218,IT,2021-01-14,Admin,942603.0,942603.0,
58219,IT,2021-01-15,Admin,1036443.0,1036443.0,
58220,IT,2021-01-16,Admin,1127510.0,1127510.0,
58221,IT,2021-01-17,Admin,1193665.0,1193665.0,
58222,IT,2021-01-18,Admin,1231324.0,1228332.0,
58223,IT,2021-01-19,Admin,1276047.0,1267953.0,
58224,IT,2021-01-20,Admin,1309689.0,1299806.0,
58225,IT,2021-01-21,Admin,1341241.0,1326751.0,
58226,IT,2021-01-22,Admin,1377854.0,1343411.0,
58227,IT,2021-01-23,Admin,1405373.0,1356716.0,
58228,IT,2021-01-24,Admin,1444776.0,1362822.0,
58229,IT,2021-01-25,Admin,1478832.0,1366117.0,
58230,IT,2021-01-26,Admin,1548519.0,1371125.0,
58231,IT,2021-01-27,Admin,1629418.0,1375576.0,
58232,IT,2021-01-28,Admin,1700701.0,1382067.0,
58233,IT,2021-01-29,Admin,1794969.0,1387136.0,
58234,IT,2021-01-30,Admin,1894186.0,1392378.0,
58235,IT,2021-01-31,Admin,1985002.0,1396699.0,
58236,IT,2021-02-01,Admin,2045015.0,1399408.0,
58237,IT,2021-02-02,Admin,2131298.0,1403866.0,
58238,IT,2021-02-03,Admin,2219979.0,1410440.0,
58239,IT,2021-02-04,Admin,2320199.0,1419604.0,
58240,IT,2021-02-05,Admin,2429266.0,1433346.0,
58241,IT,2021-02-06,Admin,2536133.0,1451205.0,
58242,IT,2021-02-07,Admin,2614267.0,1465978.0,
58243,IT,2021-02-08,Admin,2656715.0,1475553.0,
58244,IT,2021-02-09,Admin,2724011.0,1502582.0,
58245,IT,2021-02-10,Admin,2791324.0,1537199.0,
58246,IT,2021-02-11,Admin,2864708.0,1582392.0,
